player	points	timestamp
0	0	0
1	38900	499
2	49600	482
3	41000	499
4	44300	486
5	36750	493
6	37800	496
7	39000	498
8	36600	500
9	36100	499
10	34900	496
11	42500	495
12	39000	478
13	40050	488
14	34300	491
15	42300	499
16	37650	498
17	36250	500
18	31300	498
19	35350	460
20	34300	500
21	37350	500
22	31650	495
23	32350	499
24	36250	498
25	33200	490
26	35800	496
27	29050	490
28	36400	490
29	35850	479
30	41550	498
31	37150	499
32	41600	485
33	37200	491
34	33800	496
35	38650	498
36	41600	497
37	31800	498
38	36500	486
39	34850	496
40	30200	490
41	37950	499
42	34950	495
43	41600	499
44	35050	487
45	35800	497
46	0	0
47	33550	492
48	40850	494
49	37900	496
50	37000	489
51	35700	496
52	33750	498
53	34650	499
54	32250	500
55	36950	499
56	34650	478
57	32250	497
58	36500	491
59	42000	497
60	28000	500
61	31950	474
62	35450	490
63	0	0
64	32400	489
65	32300	497
66	39350	500
67	36450	495
68	33050	500
69	39350	497
70	34500	497
71	45850	497
72	44450	499
73	39500	500
74	31900	492
75	37750	489
76	38850	499
77	35150	500
78	37750	491
79	32750	499
80	39100	491
81	30950	498
82	38950	498
83	39700	483
84	43750	497
85	33600	464
86	35250	482
87	31650	482
88	40150	500
89	30650	499
90	31550	495
91	38850	496
92	36850	499
93	33150	493
94	30100	489
95	41350	498
96	34750	495
97	0	0
98	37400	498
99	39750	495
100	29100	491
101	40250	483
102	36650	499
103	40350	498
104	43850	500
105	37350	489
106	30600	485
107	40600	493
108	40250	490
109	40100	500
110	37400	496
111	41500	491
112	34400	497
113	40200	487
114	34900	487
115	41450	499
116	41800	500
117	33750	482
118	35150	496
119	36500	496
120	38250	499
121	33850	499
122	33400	497
123	38800	492
124	41350	500
125	34200	499
126	47500	495
127	33650	444
128	35800	499
129	41050	496
130	34200	493
131	38600	485
132	36650	491
133	43200	499
134	41150	495
135	36950	495
136	38150	498
137	34800	482
138	0	0
139	34950	481
140	41400	490
141	38550	493
142	0	0
143	32700	498
144	41100	495
145	37700	491
146	37250	500
147	30100	498
148	37350	491
149	36400	499
